1|Лопата снеговая|203|190.00|175.00|inline|| 375&nbsp;x&nbsp;330&nbsp;мм| оцинкованная <span class=art>арт. 61536-SIB</span>||/img/pic/strhoz/small/LOPATA SNEG OZINKOVANNAJA.jpg|/img/pic/strhoz/big/LOPATA SNEG OZINKOVANNAJA.jpg
1|Лопата снеговая|203 |99.00 |95.00|inline|| уборочная| металлическая <span class=art>арт. IVA-03-UB</span>||/img/pic/strhoz/small/LOPATA SNEG OZINKOVANNAJA.jpg|/img/pic/strhoz/big/jpg
1|Лопата снеговая|-03|160.00|145.00|inline|| пластиковая 360 x 400 мм| с металлической накладкой <span class=art>арт. PP-01</span>||/img/pic/strhoz/small/LOPATA SNEG PLASTMASS.jpg|/img/pic/strhoz/big/LOPATA SNEG PLASTMASS.jpg
1|Лопата снеговая|203|109.00|105.00|inline|| пластиковая 420 x 420 мм| с металлической накладкой <span class=art>арт. PP-01</span>||/img/pic/strhoz/small/LOPATA SNEG PLASTMASS.jpg|/img/pic/strhoz/big/LOPATA SNEG PLASTMASS.jpg
1|Лопата снеговая тротуарная|203|380.00|365.00|inline|| 570&nbsp;x&nbsp;350&nbsp;мм| алюминиевая <span class=art>арт. 61541-SIB</span>||/img/pic/strhoz/small/LOPATA SNEG ALLUMINIJ.jpg|/img/pic/strhoz/big/LOPATA SNEG ALLUMINIJ.jpg
1|Лопата снеговая трехбортная|203|330.00|295.00|inline|| 600&nbsp;x&nbsp;500&nbsp;мм| алюминиевая <span class=art>арт. IVA-04-3B</span>||/img/pic/strhoz/small/LOPATA SNEG ALLUMINIJ.jpg|/img/pic/strhoz/big/jpg
1|Движок для снега|203|649.00|639.00|inline|| 750&nbsp;x&nbsp;460&nbsp;мм| алюминиевый <span class=art>арт. 61526</span>||/img/pic/strhoz/small/dvij0.jpg|/img/pic/strhoz/big/jpg
1|Движок для снега|203|495.00|445.00|inline|| 755&nbsp;x&nbsp;410&nbsp;мм| алюминиевый <span class=art>арт. IVA-02-DA</span>||/img/pic/strhoz/small/dvij0.jpg|/img/pic/strhoz/big/jpg
1|Движок для снега|203|495.00|460.00|inline|| 1060&nbsp;x&nbsp;530&nbsp;мм| металлический <span class=art>арт. IVA-01-DM</span>||/img/pic/strhoz/small/dvij0.jpg|/img/pic/strhoz/big/jpg
1|Ледоруб-топор сварной|203|275.00|260.00||| 1200 x 140 мм, 2.2 кг, топор типоразмера Б3 по <a href="http://magicad.su/magicad_docs/4/4132/index.htm"  target="_blank" title="Топоры_строительные._Технические_условия">ГОСТ 18578-89</a>, металлический черенок <span class=art>арт. IVA-05-LT</span>|||/img/pic/strhoz/small/LEDORUB TOPOR.jpg|/img/pic/strhoz/big/LEDORUB TOPOR.jpg
1|Ледоруб-скребок|203|138.00|138.00||| 1200 x 190 мм, 1.0 кг, металлический черенок|||/img/pic/strhoz/small/LEDORUB SKREBOK.jpg|/img/pic/strhoz/big/LEDORUB SKREBOK.jpg

1|Лопата совковая усиленная|101|69.00|65.00|inline|| без черенка|||/img/pic/strhoz/small/Lopata SOVKOVAJA.jpg|/img/pic/strhoz/big/Lopata SOVKOVAJA.jpg
